Country;Country_Code;WJP Rule of Law Index: Overall Score;Factor 1: Constraints on Government Powers (CGP);Factor 2: Absence of Corruption(AC);Factor 3: Open Government (OG);Factor 4: Fundamental Rights(FR);Factor 5: Order and Security(OS);Factor 6: Regulatory Enforcement(RE);Factor 7: Civil Justice(CJ);Factor 8: Criminal Justice(CJ)
Afghanistan;AFG;0.32;0.35;0.3;0.33;0.25;0.38;0.35;0.32;0.25
Albania;ALB;0.48;0.43;0.37;0.47;0.57;0.77;0.43;0.45;0.38
Algeria;DZA;0.49;0.48;0.45;0.36;0.43;0.76;0.49;0.56;0.42
Angola;AGO;0.43;0.4;0.44;0.37;0.37;0.6;0.43;0.44;0.36
Antigua and Barbuda;ATG;0.64;0.62;0.63;0.52;0.71;0.79;0.62;0.68;0.53
Argentina;ARG;0.55;0.56;0.46;0.61;0.68;0.61;0.5;0.56;0.4
Australia;AUS;0.8;0.82;0.83;0.81;0.78;0.87;0.81;0.74;0.72
Austria;AUT;0.79;0.82;0.79;0.68;0.83;0.91;0.8;0.74;0.79
The Bahamas;BHS;0.59;0.59;0.63;0.48;0.63;0.73;0.5;0.57;0.58
Bangladesh;BGD;0.39;0.36;0.33;0.4;0.3;0.63;0.39;0.36;0.31
Barbados;BRB;0.66;0.65;0.7;0.55;0.74;0.8;0.63;0.62;0.58
Belarus;BLR;0.45;0.26;0.49;0.31;0.34;0.81;0.43;0.55;0.39
Belgium;BEL;0.78;0.81;0.8;0.76;0.84;0.81;0.79;0.74;0.7
Belize;BLZ;0.5;0.48;0.45;0.45;0.52;0.71;0.42;0.52;0.4
Benin;BEN;0.48;0.49;0.4;0.39;0.52;0.69;0.47;0.43;0.42
Bolivia;BOL;0.37;0.35;0.23;0.44;0.44;0.6;0.38;0.3;0.2
Bosnia and Herzegovina;BIH;0.52;0.46;0.44;0.49;0.58;0.77;0.48;0.46;0.47
Botswana;BWA;0.59;0.61;0.57;0.47;0.59;0.71;0.59;0.61;0.57
Brazil;BRA;0.5;0.51;0.45;0.59;0.5;0.6;0.5;0.51;0.33
Bulgaria;BGR;0.56;0.52;0.45;0.6;0.61;0.78;0.53;0.53;0.45
Burkina Faso;BFA;0.46;0.49;0.43;0.45;0.51;0.43;0.47;0.44;0.48
Cambodia;KHM;0.31;0.25;0.23;0.23;0.33;0.66;0.26;0.26;0.26
Cameroon;CMR;0.36;0.37;0.25;0.34;0.36;0.48;0.41;0.42;0.23
Canada;CAN;0.8;0.82;0.82;0.8;0.82;0.9;0.81;0.68;0.74
Chile;CHL;0.66;0.71;0.69;0.7;0.72;0.67;0.63;0.6;0.54
China;CHN;0.47;0.32;0.54;0.41;0.25;0.81;0.5;0.52;0.45
Colombia;COL;0.48;0.5;0.39;0.62;0.51;0.53;0.52;0.46;0.32
Congo, Dem. Rep.;COD;0.34;0.39;0.17;0.34;0.4;0.47;0.35;0.35;0.28
Congo, Rep.;COG;0.4;0.36;0.3;0.33;0.39;0.63;0.43;0.44;0.33
Costa Rica;CRI;0.68;0.76;0.63;0.69;0.77;0.69;0.68;0.6;0.57
Côte d'Ivoire;CIV;0.45;0.39;0.35;0.36;0.45;0.67;0.52;0.51;0.36
Croatia;HRV;0.61;0.57;0.57;0.6;0.68;0.84;0.56;0.56;0.51
Cyprus;CYP;0.67;0.67;0.64;0.6;0.72;0.8;0.65;0.62;0.67
Czechia;CZE;0.74;0.75;0.68;0.72;0.79;0.89;0.72;0.68;0.71
Denmark;DNK;0.9;0.94;0.95;0.86;0.92;0.93;0.89;0.87;0.84
Dominica;DMA;0.58;0.53;0.61;0.49;0.63;0.72;0.53;0.56;0.55
Dominican Republic;DOM;0.49;0.51;0.41;0.57;0.58;0.64;0.43;0.44;0.37
Ecuador;ECU;0.46;0.51;0.36;0.52;0.53;0.57;0.45;0.44;0.31
Egypt, Arab Rep.;EGY;0.35;0.24;0.37;0.23;0.24;0.65;0.35;0.38;0.34
El Salvador;SLV;0.43;0.36;0.35;0.43;0.41;0.71;0.48;0.49;0.22
Estonia;EST;0.82;0.82;0.82;0.81;0.82;0.91;0.8;0.8;0.75
Ethiopia;ETH;0.37;0.33;0.41;0.3;0.28;0.53;0.36;0.41;0.35
Finland;FIN;0.87;0.92;0.9;0.86;0.89;0.93;0.86;0.8;0.84
France;FRA;0.72;0.73;0.75;0.74;0.74;0.78;0.74;0.67;0.65
Gabon;GAB;0.4;0.31;0.25;0.37;0.44;0.65;0.46;0.4;0.3
The Gambia;GMB;0.49;0.58;0.47;0.38;0.51;0.69;0.38;0.5;0.4
Georgia;GEO;0.6;0.52;0.67;0.59;0.6;0.78;0.57;0.53;0.51
Germany;DEU;0.83;0.86;0.84;0.79;0.86;0.89;0.84;0.82;0.78
Ghana;GHA;0.55;0.66;0.39;0.51;0.57;0.71;0.53;0.57;0.45
Greece;GRC;0.6;0.64;0.57;0.6;0.64;0.72;0.56;0.58;0.5
Grenada;GRD;0.6;0.58;0.66;0.46;0.63;0.79;0.55;0.6;0.54
Guatemala;GTM;0.44;0.49;0.34;0.53;0.53;0.6;0.42;0.34;0.3
Guinea;GIN;0.41;0.37;0.29;0.36;0.49;0.71;0.37;0.39;0.31
Guyana;GUY;0.5;0.53;0.45;0.44;0.55;0.63;0.48;0.52;0.4
Haiti;HTI;0.33;0.35;0.23;0.33;0.43;0.43;0.27;0.34;0.25
Honduras;HND;0.42;0.39;0.32;0.45;0.46;0.64;0.39;0.41;0.27
Hong Kong SAR, China;HKG;0.72;0.56;0.84;0.69;0.59;0.92;0.8;0.71;0.68
Hungary;HUN;0.51;0.36;0.49;0.45;0.54;0.9;0.45;0.46;0.46
India;IND;0.5;0.56;0.41;0.59;0.46;0.67;0.48;0.44;0.38
Indonesia;IDN;0.53;0.64;0.42;0.55;0.49;0.69;0.57;0.47;0.39
Iran, Islamic Rep.;IRN;0.39;0.32;0.38;0.27;0.2;0.63;0.43;0.51;0.34
Ireland;IRL;0.82;0.84;0.83;0.81;0.84;0.93;0.84;0.74;0.74
Italy;ITA;0.66;0.7;0.65;0.64;0.72;0.75;0.62;0.57;0.63
Jamaica;JAM;0.57;0.63;0.53;0.56;0.64;0.61;0.55;0.55;0.48
Japan;JPN;0.79;0.72;0.82;0.71;0.78;0.93;0.8;0.77;0.77
Jordan;JOR;0.55;0.47;0.58;0.39;0.46;0.76;0.55;0.61;0.56
Kazakhstan;KAZ;0.54;0.45;0.5;0.47;0.46;0.8;0.53;0.62;0.46
Kenya;KEN;0.45;0.48;0.27;0.5;0.48;0.55;0.45;0.5;0.39
Korea, Rep.;KOR;0.74;0.71;0.67;0.72;0.75;0.84;0.75;0.76;0.72
Kosovo;XKX;0.56;0.57;0.47;0.57;0.61;0.84;0.47;0.48;0.47
Kuwait;KWT;0.58;0.54;0.67;0.42;0.45;0.88;0.65;0.57;0.47
Kyrgyz Republic;KGZ;0.45;0.43;0.29;0.49;0.46;0.75;0.4;0.47;0.33
Latvia;LVA;0.73;0.7;0.69;0.73;0.77;0.86;0.72;0.71;0.68
Lebanon;LBN;0.44;0.48;0.36;0.44;0.46;0.65;0.44;0.4;0.31
Liberia;LBR;0.44;0.5;0.31;0.46;0.52;0.61;0.41;0.41;0.31
Lithuania;LTU;0.77;0.76;0.75;0.76;0.79;0.9;0.76;0.78;0.7
Luxembourg;LUX;0.83;0.82;0.85;0.81;0.85;0.95;0.85;0.78;0.73
Madagascar;MDG;0.43;0.42;0.27;0.45;0.46;0.71;0.38;0.42;0.31
Malawi;MWI;0.52;0.57;0.42;0.45;0.57;0.68;0.46;0.56;0.44
Malaysia;MYS;0.57;0.57;0.57;0.41;0.49;0.78;0.56;0.62;0.56
Mali;MLI;0.39;0.41;0.32;0.44;0.48;0.37;0.46;0.4;0.29
Malta;MLT;0.67;0.63;0.64;0.63;0.74;0.91;0.59;0.6;0.63
Mauritania;MRT;0.36;0.34;0.3;0.28;0.38;0.63;0.29;0.4;0.27
Mauritius;MUS;0.6;0.57;0.58;0.51;0.64;0.75;0.62;0.62;0.55
Mexico;MEX;0.41;0.43;0.27;0.57;0.47;0.52;0.43;0.37;0.25
Moldova;MDA;0.54;0.53;0.38;0.57;0.61;0.82;0.46;0.5;0.42
Mongolia;MNG;0.53;0.53;0.43;0.49;0.56;0.76;0.49;0.54;0.48
Montenegro;MNE;0.57;0.55;0.49;0.55;0.67;0.82;0.47;0.53;0.48
Morocco;MAR;0.48;0.51;0.41;0.42;0.43;0.69;0.5;0.5;0.37
Mozambique;MOZ;0.39;0.41;0.34;0.36;0.39;0.5;0.39;0.42;0.31
Myanmar;MMR;0.34;0.26;0.41;0.28;0.18;0.58;0.41;0.32;0.23
Namibia;NAM;0.61;0.65;0.52;0.58;0.65;0.75;0.58;0.61;0.55
Nepal;NPL;0.52;0.59;0.41;0.51;0.52;0.73;0.49;0.45;0.47
Netherlands;NLD;0.83;0.83;0.88;0.81;0.83;0.85;0.84;0.83;0.75
New Zealand;NZL;0.83;0.86;0.89;0.83;0.83;0.88;0.85;0.79;0.74
Nicaragua;NIC;0.34;0.22;0.3;0.3;0.28;0.69;0.35;0.3;0.24
Niger;NER;0.43;0.37;0.39;0.35;0.45;0.6;0.46;0.44;0.35
Nigeria;NGA;0.4;0.49;0.32;0.42;0.42;0.36;0.41;0.44;0.38
North Macedonia;MKD;0.53;0.47;0.46;0.52;0.62;0.8;0.45;0.51;0.44
Norway;NOR;0.89;0.92;0.94;0.88;0.9;0.93;0.88;0.87;0.83
Pakistan;PAK;0.38;0.45;0.32;0.41;0.37;0.37;0.38;0.39;0.36
Panama;PAN;0.52;0.54;0.41;0.56;0.63;0.7;0.49;0.48;0.35
Paraguay;PRY;0.46;0.49;0.3;0.55;0.5;0.69;0.45;0.4;0.27
Peru;PER;0.48;0.58;0.33;0.54;0.59;0.62;0.46;0.41;0.33
Philippines;PHL;0.46;0.48;0.43;0.47;0.41;0.67;0.47;0.46;0.31
Poland;POL;0.66;0.61;0.71;0.65;0.63;0.85;0.63;0.62;0.58
Portugal;PRT;0.68;0.75;0.72;0.63;0.75;0.78;0.6;0.63;0.57
Romania;ROU;0.62;0.6;0.53;0.62;0.67;0.83;0.57;0.61;0.53
Russian Federation;RUS;0.43;0.31;0.42;0.45;0.36;0.63;0.47;0.5;0.29
Rwanda;RWA;0.63;0.61;0.68;0.56;0.53;0.85;0.61;0.66;0.56
Senegal;SEN;0.55;0.55;0.55;0.44;0.59;0.7;0.57;0.55;0.46
Serbia;SRB;0.47;0.34;0.41;0.44;0.55;0.76;0.44;0.47;0.38
Sierra Leone;SLE;0.43;0.47;0.35;0.38;0.49;0.66;0.35;0.41;0.36
Singapore;SGP;0.78;0.68;0.92;0.6;0.68;0.94;0.87;0.79;0.78
Slovak Republic;SVK;0.66;0.64;0.54;0.71;0.72;0.9;0.62;0.55;0.59
Slovenia;SVN;0.69;0.66;0.66;0.66;0.77;0.89;0.64;0.67;0.58
South Africa;ZAF;0.56;0.61;0.46;0.61;0.63;0.6;0.51;0.58;0.5
Spain;ESP;0.71;0.7;0.73;0.69;0.78;0.82;0.68;0.64;0.67
Sri Lanka;LKA;0.51;0.51;0.49;0.52;0.49;0.68;0.49;0.45;0.42
St. Kitts and Nevis;KNA;0.64;0.62;0.65;0.46;0.69;0.77;0.61;0.69;0.59
St. Lucia;LCA;0.62;0.6;0.63;0.5;0.67;0.73;0.61;0.65;0.55
St. Vincent and the Grenadines;VCT;0.62;0.58;0.68;0.48;0.69;0.75;0.54;0.62;0.59
Sudan;SDN;0.35;0.27;0.35;0.34;0.32;0.52;0.33;0.35;0.34
Suriname;SUR;0.49;0.49;0.44;0.38;0.52;0.65;0.46;0.49;0.53
Sweden;SWE;0.86;0.86;0.91;0.84;0.87;0.93;0.83;0.83;0.78
Tanzania;TZA;0.47;0.5;0.41;0.39;0.44;0.7;0.46;0.48;0.37
Thailand;THA;0.5;0.46;0.46;0.48;0.48;0.74;0.45;0.5;0.41
Togo;TGO;0.45;0.37;0.42;0.31;0.45;0.69;0.5;0.47;0.36
Trinidad and Tobago;TTO;0.51;0.52;0.48;0.53;0.58;0.65;0.48;0.55;0.31
Tunisia;TUN;0.5;0.51;0.47;0.46;0.48;0.72;0.49;0.49;0.41
Türkiye;TUR;0.42;0.29;0.45;0.4;0.31;0.72;0.42;0.4;0.34
Uganda;UGA;0.39;0.38;0.27;0.39;0.34;0.57;0.43;0.42;0.32
Ukraine;UKR;0.49;0.46;0.34;0.56;0.59;0.62;0.43;0.53;0.37
United Arab Emirates;ARE;0.64;0.58;0.78;0.34;0.44;0.91;0.7;0.66;0.68
United Kingdom;GBR;0.78;0.82;0.83;0.8;0.8;0.84;0.78;0.71;0.7
United States;USA;0.7;0.67;0.73;0.75;0.68;0.83;0.72;0.63;0.59
Uruguay;URY;0.72;0.77;0.73;0.74;0.8;0.71;0.72;0.72;0.58
Uzbekistan;UZB;0.49;0.37;0.47;0.38;0.44;0.9;0.44;0.51;0.45
Venezuela, RB;VEN;0.26;0.18;0.26;0.27;0.29;0.53;0.19;0.25;0.11
Vietnam;VNM;0.5;0.47;0.42;0.44;0.46;0.78;0.46;0.46;0.47
Zambia;ZMB;0.45;0.46;0.38;0.4;0.4;0.68;0.43;0.46;0.4
Zimbabwe;ZWE;0.4;0.33;0.31;0.33;0.34;0.68;0.36;0.46;0.36
